gs_id,gnn_cluster,structlite_cluster
GEX000015,1,5
GEX000043,6,0
GEX000044,2,5
GEX000045,2,2
GEX000084,0,7
GEX000093,0,3
GEX000188,1,4
GEX000189,7,9
GEX000213,8,1
GEX000222,6,4
GEX000230,5,9
GEX000247,4,3
GEX000249,1,0
GEX000313,2,6
GEX000314,0,4
GEX000386,1,0
GEX000387,1,7
GEX000388,4,7
GEX000422,9,7
GEX000448,9,7
GEX000509,7,4
GEX000510,7,4
GEX000519,5,0
GEX000520,0,7
GEX000531,9,7
GEX000532,9,3
GEX000540,5,3
GEX000541,0,3
GEX000543,6,4
GEX000544,8,5
GEX000606,5,3
GEX000607,6,0
GEX000634,5,3
GEX000682,3,7
GEX000687,9,3
GEX000710,4,7
GEX000711,0,0
GEX000732,3,2
GEX000733,6,2
GEX000793,0,7
GEX000794,1,2
GEX000816,6,5
GEX000825,1,9
GEX000919,9,2
GEX000924,8,1
GEX000978,1,3
GEX000990,8,1
GEX001024,8,6
GEX001055,3,7
GEX001061,4,7
GEX001062,9,7
GEX001063,6,0
GEX001064,4,7
GEX001090,5,7
GEX001091,9,2
GEX001163,6,0
GEX001164,6,7
GEX001165,4,3
GEX001175,8,1
GEX001178,6,0
GEX001242,4,7
GEX001243,9,7
GEX001248,6,2
GEX001249,3,2
GEX001287,5,4
GEX001288,4,4
GEX001349,6,7
GEX001520,4,7
GEX001533,1,2
GEX001621,7,4
GEX001622,7,9
GEX001680,0,7
GEX001681,0,7
GEX001719,7,4
GEX001720,7,4
GEX001803,4,3
GEX001804,4,3
GEX001826,6,2
GEX001827,9,7
GEX001885,7,2
GEX001892,9,2
GEX001906,4,7
GEX002017,1,5
GEX002018,3,3
GEX002071,3,2
GEX002072,7,5
GEX002080,4,3
GEX002081,4,3
GEX002090,5,1
GEX002091,6,4
GEX002095,5,1
GEX002163,6,4
GEX002175,0,2
GEX002189,9,0
GEX002197,7,9
GEX002198,5,4
GEX002207,4,7
GEX002208,9,7
GEX002219,9,2
GEX002220,0,2
GEX002221,5,4
GEX002222,2,4
GEX002236,5,4
GEX002237,6,4
GEX002248,8,1
GEX002282,0,3
GEX002307,6,3
GEX002308,4,7
GEX002333,1,4
GEX002357,4,7
GEX002399,0,7
GEX002400,0,7
GEX002429,0,2
GEX002443,3,2
GEX002444,6,2
GEX002498,6,4
GEX002526,4,7
GEX002699,5,0
GEX002736,2,6
GEX002741,2,9
GEX002742,7,5
GEX002743,5,4
GEX002744,7,9
GEX002759,0,0
GEX002805,5,2
GEX002831,6,9
GEX002844,3,7
GEX002845,4,7
GEX002849,5,3
GEX002898,1,2
GEX002902,9,7
GEX002905,3,2
GEX002906,9,2
GEX002909,0,7
GEX002910,6,9
GEX002957,4,3
GEX002998,5,3
GEX003002,3,2
GEX003003,9,2
GEX003011,6,0
GEX003089,3,2
GEX003090,7,2
GEX003114,9,7
GEX003156,0,3
GEX003166,0,3
GEX003218,4,2
GEX003270,4,3
GEX003289,1,4
GEX003292,4,0
GEX003293,7,5
GEX003300,8,8
GEX003320,1,0
GEX003340,9,7
GEX003393,5,1
GEX003394,2,1
GEX003456,5,1
GEX003457,6,4
GEX003466,3,7
GEX003467,6,5
GEX003509,9,0
GEX003514,5,0
GEX003518,9,3
GEX003522,0,2
GEX003523,9,2
GEX003528,5,1
GEX003529,6,1
GEX003580,3,3
GEX003587,1,2
GEX003610,9,7
GEX003611,2,5
GEX003649,9,0
GEX003708,0,7
GEX003709,6,0
GEX003747,7,2
GEX003758,9,4
GEX003946,3,2
GEX003947,7,2
GEX003972,9,2
GEX003977,1,0
GEX004013,0,7
GEX004014,9,7
GEX004036,8,1
GEX004105,8,4
GEX004106,7,4
GEX004111,2,4
GEX004112,2,4
GEX004124,1,9
GEX004129,6,2
GEX004130,7,2
GEX004135,7,5
GEX004136,1,9
GEX004172,3,7
GEX004226,3,3
GEX004242,0,3
GEX004254,7,9
GEX004255,7,4
GEX004302,3,7
GEX004337,0,2
GEX004338,6,7
GEX004354,7,5
GEX004394,2,4
GEX004411,9,3
GEX004490,5,2
GEX004492,6,0
GEX004493,6,9
GEX004512,0,3
GEX004513,1,0
GEX004549,9,2
GEX004583,6,2
GEX004676,1,9
GEX004677,1,5
GEX004703,9,3
GEX004715,2,6
GEX004721,9,7
GEX004722,6,0
GEX004773,0,0
GEX004941,6,9
GEX004997,7,2
GEX005012,5,2
GEX005084,8,1
GEX005104,0,7
GEX005105,1,2
GEX005116,6,0
GEX005168,4,3
GEX005202,7,2
GEX005203,3,7
GEX005226,9,2
GEX005227,0,2
GEX005249,3,2
GEX005284,1,9
GEX005332,9,9
GEX005333,6,0
GEX005372,7,5
GEX005373,1,0
GEX005382,2,4
GEX005383,6,4
GEX005402,1,3
GEX005490,7,4
GEX005511,5,1
GEX005532,6,2
GEX005533,6,2
GEX005538,5,2
GEX005539,5,9
GEX005559,1,0
GEX005725,9,2
GEX005769,9,7
GEX005870,9,2
GEX005970,1,7
GEX006016,3,3
GEX006017,2,5
GEX006026,2,6
GEX006151,0,2
GEX006152,6,7
GEX006271,9,2
GEX006272,9,2
GEX006295,8,1
GEX006319,9,7
GEX006328,3,3
GEX006329,4,3
GEX006358,5,4
GEX006359,0,4
GEX006405,4,3
GEX006415,3,7
GEX006435,7,5
GEX006436,6,4
GEX006455,2,6
GEX006465,0,7
GEX006513,5,0
GEX006595,6,0
GEX006596,1,5
GEX006608,6,0
GEX006615,3,3
