a_group,b_group,overlap_count,overlap_pct,size_A,size_B,n_nodes_A,n_nodes_B,n_nodes_delta,n_nodes_ratio,n_edges_A,n_edges_B,n_edges_delta,n_edges_ratio,density_A,density_B,density_delta,density_ratio,mean_degree_A,mean_degree_B,mean_degree_delta,mean_degree_ratio,average_clustering_A,average_clustering_B,average_clustering_delta,average_clustering_ratio,n_connected_components_A,n_connected_components_B,n_connected_components_delta,n_connected_components_ratio,n_edges_gene_overlap_A,n_edges_gene_overlap_B,n_edges_gene_overlap_delta,n_edges_gene_overlap_ratio,n_edges_pubmed_costudy_A,n_edges_pubmed_costudy_B,n_edges_pubmed_costudy_delta,n_edges_pubmed_costudy_ratio,n_edges_shared_mesh_term_A,n_edges_shared_mesh_term_B,n_edges_shared_mesh_term_delta,n_edges_shared_mesh_term_ratio,n_edges_shared_pathway_A,n_edges_shared_pathway_B,n_edges_shared_pathway_delta,n_edges_shared_pathway_ratio,n_edges_shared_disease_A,n_edges_shared_disease_B,n_edges_shared_disease_delta,n_edges_shared_disease_ratio,n_edges_shared_go_bp_A,n_edges_shared_go_bp_B,n_edges_shared_go_bp_delta,n_edges_shared_go_bp_ratio,cov_gene_overlap_A,cov_gene_overlap_B,cov_gene_overlap_delta,cov_pubmed_costudy_A,cov_pubmed_costudy_B,cov_pubmed_costudy_delta,cov_shared_mesh_term_A,cov_shared_mesh_term_B,cov_shared_mesh_term_delta,cov_shared_pathway_A,cov_shared_pathway_B,cov_shared_pathway_delta,cov_shared_disease_A,cov_shared_disease_B,cov_shared_disease_delta,cov_shared_go_bp_A,cov_shared_go_bp_B,cov_shared_go_bp_delta
A0,B7,204,26.6,464,768,464.0,768.0,304.0,1.6551724137931034,326401.0,928479.0,602078.0,2.844596064350293,0.9992831607954122,0.9998607942199044,0.00057763342449213,1.0005780477918114,462.6681034482759,766.8932291666666,304.22512571839076,1.6575450597328711,0.9992995687389254,0.9998611396504936,0.0005615709115681655,1.000561964529092,1.0,1.0,0.0,1.0,235.0,381.0,146.0,1.6212765957446809,600.0,1433.0,833.0,2.388333333333333,62007.0,157021.0,95014.0,2.532310868127792,106487.0,293610.0,187123.0,2.757237972710284,81681.0,246239.0,164558.0,3.014642328081194,75391.0,229795.0,154404.0,3.048042869838575,0.875,0.8802083333333334,0.00520833333333337,0.7564655172413793,0.76171875,0.005253232758620663,0.790948275862069,0.7565104166666666,-0.03443785919540232,1.0,1.0,0.0,0.9224137931034484,0.9609375,0.0385237068965516,0.9439655172413792,0.9596354166666666,0.015669899425287404
A1,B0,183,35.6,499,514,499.0,514.0,15.0,1.0300601202404809,315766.0,363715.0,47949.0,1.1518497875008709,0.9961449002422516,0.999673849561214,0.0035289493189624155,1.0035426064201145,496.08016032064126,512.8326848249027,16.75252450426143,1.0337697933604792,0.9968159877788004,0.999677071185328,0.002861083406527576,1.0028702222291828,1.0,1.0,0.0,1.0,290.0,224.0,-66.0,0.7724137931034483,663.0,390.0,-273.0,0.5882352941176471,73646.0,68019.0,-5627.0,0.9235939494337778,123216.0,131545.0,8329.0,1.0675967406830282,62914.0,85118.0,22204.0,1.3529262167403122,55037.0,78419.0,23382.0,1.4248414702836274,0.9138276553106212,0.8365758754863813,-0.07725177982423981,0.7895791583166333,0.7178988326848249,-0.07168032563180837,0.7935871743486974,0.7373540856031129,-0.056233088745584525,1.0,1.0,0.0,0.8036072144288577,0.8929961089494164,0.08938889452055865,0.8677354709418837,0.9494163424124512,0.08168087147056746
A2,B6,160,39.0,410,207,410.0,207.0,-203.0,0.5048780487804878,102281.0,25646.0,-76635.0,0.25074060675980875,0.827204961536168,0.8461610618638901,0.018956100327722103,1.0229158445719662,338.32682926829267,174.30917874396135,-164.01765052433132,0.5152094473883253,0.9083892219127532,0.9400561829159308,0.031666961003177674,1.034860564435692,1.0,3.0,2.0,3.0,3214.0,625.0,-2589.0,0.19446172993154948,339.0,109.0,-230.0,0.3215339233038348,33462.0,6377.0,-27085.0,0.19057438288207518,54950.0,16057.0,-38893.0,0.2922111010009099,4778.0,1457.0,-3321.0,0.30493930514859774,5538.0,1021.0,-4517.0,0.18436258577103648,0.9536585365853658,0.7922705314009661,-0.16138800518439966,0.5682926829268292,0.3623188405797101,-0.20597384234711913,0.6707317073170732,0.5990338164251208,-0.07169789089195244,0.8829268292682927,0.8840579710144928,0.0011311417462001039,0.424390243902439,0.4830917874396135,0.058701543537174494,0.5439024390243903,0.4251207729468599,-0.11878166607753038
A3,B3,195,23.8,423,818,423.0,818.0,395.0,1.933806146572104,274830.0,965072.0,690242.0,3.5115234872466616,0.9994285906356088,0.9995570891178592,0.00012849848225038318,1.0001285719494664,421.7588652482269,816.6381418092909,394.879276561064,1.936267875077521,0.9994618519711372,0.9995609102784134,9.90583072761897e-05,1.000099111644012,1.0,1.0,0.0,1.0,212.0,365.0,153.0,1.721698113207547,333.0,1138.0,805.0,3.4174174174174174,43426.0,181656.0,138230.0,4.183116105558882,88525.0,333054.0,244529.0,3.762259248799774,72439.0,229868.0,157429.0,3.1732630213006807,69895.0,218991.0,149096.0,3.133142570999356,0.8652482269503546,0.8850855745721271,0.019837347621772472,0.6950354609929078,0.7665036674816625,0.07146820648875474,0.7163120567375887,0.7652811735941321,0.04896911685654337,0.9976359338061466,1.0,0.0023640661938534313,0.9361702127659576,0.9058679706601468,-0.030302242105810784,0.9621749408983452,0.9449877750611247,-0.017187165837220464
A4,B8,0,0.0,344,35,344.0,35.0,-309.0,0.10174418604651163,166495.0,622.0,-165873.0,0.0037358479233610617,0.999677944267408,0.7109243697478992,-0.2887535745195088,0.7111534007773719,342.88953488372096,24.17142857142857,-318.7181063122924,0.07049334001874823,0.9996790509780872,0.866193289290222,-0.1334857616878652,0.8664713824329293,1.0,1.0,0.0,1.0,159.0,239.0,80.0,1.5031446540880504,322.0,1.0,-321.0,0.003105590062111801,29787.0,210.0,-29577.0,0.007050055393292376,58833.0,91.0,-58742.0,0.001546750973093332,40566.0,55.0,-40511.0,0.0013558152147118275,36828.0,26.0,-36802.0,0.0007059845769523189,0.875,0.8857142857142857,0.010714285714285676,0.7441860465116279,0.0571428571428571,-0.6870431893687708,0.75,0.6,-0.15000000000000002,1.0,0.4,-0.6,0.9069767441860463,0.3142857142857143,-0.5926910299003321,0.9273255813953488,0.2285714285714285,-0.6987541528239203
A5,B4,52,12.7,407,408,407.0,408.0,1.0,1.0024570024570025,209609.0,147516.0,-62093.0,0.7037674908997228,0.9879570569225742,0.9649395384689502,-0.023017518453623986,0.9767019039012463,401.1105651105651,392.7303921568628,-8.3801729537023,0.979107573615289,0.9895233773442784,0.9725326773746692,-0.016990699969609224,0.9828294102407065,1.0,1.0,0.0,1.0,341.0,201.0,-140.0,0.5894428152492669,632.0,1194.0,562.0,1.889240506329114,41130.0,49469.0,8339.0,1.2027473863360079,80828.0,72901.0,-7927.0,0.9019275498589597,45775.0,12895.0,-32880.0,0.2817039868924085,40903.0,10856.0,-30047.0,0.26540840525144854,0.9115479115479116,0.928921568627451,0.017373657079539417,0.7076167076167076,0.7965686274509803,0.08895191983427275,0.7518427518427518,0.7990196078431373,0.04717685600038546,1.0,0.9852941176470588,-0.014705882352941235,0.8304668304668305,0.6004901960784313,-0.2299766343883991,0.8476658476658476,0.7303921568627451,-0.11727369080310257
A6,B9,103,20.7,498,341,498.0,341.0,-157.0,0.6847389558232931,308389.0,132406.0,-175983.0,0.42934735026216886,0.9959920163551592,0.9997929963774366,0.003800980022277356,1.003816275592436,495.00803212851406,339.92961876832845,-155.0784133601856,0.6867153595602179,0.99648389995396,0.9997942589175296,0.0033103589635695707,1.0033220395871147,1.0,1.0,0.0,1.0,296.0,146.0,-150.0,0.49324324324324326,509.0,281.0,-228.0,0.5520628683693517,60222.0,31347.0,-28875.0,0.5205240609743947,121462.0,57845.0,-63617.0,0.4762394823072237,68677.0,23340.0,-45337.0,0.33985176987929,57223.0,19447.0,-37776.0,0.3398458661726928,0.8995983935742972,0.8504398826979472,-0.049158510876349926,0.7289156626506024,0.7214076246334311,-0.007508038017171259,0.7188755020080321,0.750733137829912,0.03185763582187995,0.997991967871486,1.0,0.00200803212851397,0.857429718875502,0.7390029325513197,-0.11842678632418235,0.8895582329317269,0.7947214076246334,-0.09483682530709348
A7,B5,232,48.9,474,440,474.0,440.0,-34.0,0.9282700421940928,219614.0,215205.0,-4409.0,0.9799238664201736,0.972872677317776,0.999575481466142,0.0267028041483659,1.027447378028938,460.168776371308,438.8136363636364,-21.355140007671594,0.9535928096293951,0.9796019850756792,0.9995795501398452,0.019977565064166036,1.0203935530639239,1.0,1.0,0.0,1.0,247.0,191.0,-56.0,0.7732793522267206,560.0,518.0,-42.0,0.925,61362.0,53563.0,-7799.0,0.8729017958997425,103776.0,96379.0,-7397.0,0.9287214770274437,27028.0,32386.0,5358.0,1.1982388634009176,26641.0,32168.0,5527.0,1.2074621823505123,0.9092827004219408,0.8363636363636363,-0.0729190640583045,0.770042194092827,0.7477272727272727,-0.022314921365554352,0.7637130801687764,0.7681818181818182,0.0044687380130418175,0.9957805907172996,1.0,0.00421940928270037,0.6708860759493671,0.7227272727272728,0.05184119677790566,0.7932489451476793,0.8340909090909091,0.04084196394322981
A8,B1,181,66.1,261,274,261.0,274.0,13.0,1.049808429118774,78685.0,75298.0,-3387.0,0.9569549469403317,0.982640730916593,0.9966311061201572,0.013990375203564165,1.0142375282882017,255.48659003831415,272.08029197080293,16.593701932488784,1.064949404702612,0.9903228022879,0.9971784584536796,0.0068556561657795445,1.0069226479991586,1.0,1.0,0.0,1.0,741.0,48.0,-693.0,0.06477732793522267,213.0,316.0,103.0,1.483568075117371,19536.0,20124.0,588.0,1.03009828009828,32560.0,37134.0,4574.0,1.1404791154791154,24469.0,17028.0,-7441.0,0.6959009358780498,1166.0,648.0,-518.0,0.5557461406518011,0.9846743295019156,0.22992700729927,-0.7547473222026456,0.5517241379310345,0.5109489051094891,-0.04077523282154538,0.7624521072796935,0.7554744525547445,-0.006977654724948934,1.0,1.0,0.0,0.9310344827586208,0.8102189781021898,-0.12081550465643098,0.2528735632183908,0.2627737226277372,0.00990015940934641
A9,B2,116,22.4,518,493,518.0,493.0,-25.0,0.9517374517374517,410390.0,341851.0,-68539.0,0.8329905699456615,0.9989694032247224,0.9988951005128712,-7.430271185115966e-05,0.999925620633013,516.4671814671815,491.45638945233264,-25.010792014848846,0.9515733178944727,0.9990355672561324,0.9990167674805835,-1.8799775548861142e-05,0.9999811820758289,1.0,1.0,0.0,1.0,352.0,691.0,339.0,1.9630681818181819,1055.0,2177.0,1122.0,2.0635071090047394,74452.0,58844.0,-15608.0,0.7903615752431097,132753.0,120273.0,-12480.0,0.9059908250661002,101690.0,83523.0,-18167.0,0.8213491985445963,100088.0,76343.0,-23745.0,0.7627587722803932,0.8996138996138996,1.0,0.10038610038610041,0.750965250965251,0.7626774847870182,0.011712233821767226,0.7625482625482626,0.7342799188640974,-0.028268343684165198,1.0,0.9979716024340772,-0.002028397565922768,0.9401544401544402,0.9026369168356998,-0.037517523318740365,0.9826254826254828,0.9026369168356998,-0.07998856578978297
