group_id,n_nodes,gene_overlap,pubmed_costudy,shared_mesh_term,shared_pathway,shared_disease,shared_go_bp
A0,464,0.875,0.7564655172413793,0.790948275862069,1.0,0.9224137931034483,0.9439655172413793
A1,499,0.9138276553106213,0.7895791583166333,0.7935871743486974,1.0,0.8036072144288577,0.8677354709418837
A2,410,0.9536585365853658,0.5682926829268292,0.6707317073170732,0.8829268292682927,0.424390243902439,0.5439024390243903
A3,423,0.8652482269503546,0.6950354609929078,0.7163120567375887,0.9976359338061466,0.9361702127659575,0.9621749408983451
A4,344,0.875,0.7441860465116279,0.75,1.0,0.9069767441860465,0.9273255813953488
A5,407,0.9115479115479116,0.7076167076167076,0.7518427518427518,1.0,0.8304668304668305,0.8476658476658476
A6,498,0.8995983935742972,0.7289156626506024,0.7188755020080321,0.9979919678714859,0.857429718875502,0.8895582329317269
A7,474,0.9092827004219409,0.770042194092827,0.7637130801687764,0.9957805907172996,0.6708860759493671,0.7932489451476793
A8,261,0.9846743295019157,0.5517241379310345,0.7624521072796935,1.0,0.9310344827586207,0.25287356321839083
A9,518,0.8996138996138996,0.750965250965251,0.7625482625482626,1.0,0.9401544401544402,0.9826254826254827
B0,514,0.8365758754863813,0.7178988326848249,0.7373540856031129,1.0,0.8929961089494164,0.9494163424124513
B1,274,0.22992700729927007,0.5109489051094891,0.7554744525547445,1.0,0.8102189781021898,0.26277372262773724
B2,493,1.0,0.7626774847870182,0.7342799188640974,0.9979716024340771,0.9026369168356998,0.9026369168356998
B3,818,0.8850855745721271,0.7665036674816625,0.7652811735941321,1.0,0.9058679706601467,0.9449877750611247
B4,408,0.928921568627451,0.7965686274509803,0.7990196078431373,0.9852941176470589,0.6004901960784313,0.7303921568627451
B5,440,0.8363636363636363,0.7477272727272727,0.7681818181818182,1.0,0.7227272727272728,0.8340909090909091
B6,207,0.7922705314009661,0.36231884057971014,0.5990338164251208,0.8840579710144928,0.4830917874396135,0.4251207729468599
B7,768,0.8802083333333334,0.76171875,0.7565104166666666,1.0,0.9609375,0.9596354166666666
B8,35,0.8857142857142857,0.05714285714285714,0.6,0.4,0.3142857142857143,0.22857142857142856
B9,341,0.8504398826979472,0.7214076246334311,0.750733137829912,1.0,0.7390029325513197,0.7947214076246334
