GS_ID_A,GS_ID_B,overlap,szymkiewicz_simpson,jaccard,npmi,size_a,size_b,union,composite
GEX000510,GEX018873,5,1.0,1.0,1.0,5,5,5,1.0
GEX002236,GEX013298,5,1.0,0.5555556,0.93764776,5,9,9,0.9111111
GEX002236,GEX013589,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX002237,GEX013590,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX002237,GEX022786,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX005511,GEX119068,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX005511,GEX025844,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX005511,GEX022750,5,1.0,0.35714287,0.89077824,5,14,14,0.8714286
GEX005511,GEX091468,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX005511,GEX051619,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX005511,GEX093295,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX006914,GEX070206,5,1.0,1.0,1.0,5,5,5,1.0
GEX007849,GEX025141,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX007849,GEX027298,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX008791,GEX016253,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX013131,GEX026706,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX015725,GEX037458,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX015725,GEX041211,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX015725,GEX084810,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX015725,GEX079753,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX015725,GEX094036,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX015725,GEX046719,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX015725,GEX019931,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX015725,GEX119088,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX015725,GEX077928,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX015725,GEX080615,5,1.0,0.2777778,0.8641189,5,18,18,0.8555556
GEX015725,GEX029154,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX015725,GEX109359,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX015725,GEX045399,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX015725,GEX036791,5,1.0,0.29411766,0.8701822,5,17,17,0.85882354
GEX015725,GEX104443,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX015725,GEX064243,5,1.0,0.5555556,0.93764776,5,9,9,0.9111111
GEX015725,GEX119769,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX015725,GEX099851,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX015725,GEX068274,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX015725,GEX103403,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX015725,GEX087602,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX015725,GEX043726,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX015725,GEX031961,5,1.0,0.35714287,0.89077824,5,14,14,0.8714286
GEX015725,GEX036741,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX015725,GEX089829,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX015725,GEX053938,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX015725,GEX087788,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX015725,GEX081551,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX015725,GEX111655,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX015725,GEX041486,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX017626,GEX045679,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX017626,GEX031946,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX121181,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX056014,5,1.0,1.0,1.0,5,5,5,1.0
GEX017626,GEX070403,5,1.0,1.0,1.0,5,5,5,1.0
GEX017626,GEX056536,5,1.0,0.5555556,0.93764776,5,9,9,0.9111111
GEX017626,GEX088794,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX017626,GEX074501,5,1.0,0.35714287,0.89077824,5,14,14,0.8714286
GEX017626,GEX071222,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX091640,5,1.0,0.5555556,0.93764776,5,9,9,0.9111111
GEX017626,GEX079080,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX090015,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX066646,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX017626,GEX056386,5,1.0,0.625,0.95014215,5,8,8,0.925
