threshold,embedding_file,gs_id,cluster
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000001,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000009,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000010,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000011,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000013,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000015,6
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000022,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000023,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000029,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000031,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000042,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000043,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000044,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000045,6
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000046,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000054,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000055,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000057,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000061,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000063,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000065,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000066,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000072,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000077,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000079,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000080,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000084,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000093,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000106,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000110,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000121,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000131,6
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000132,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000133,7
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000136,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000137,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000138,7
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000143,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000164,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000165,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000167,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000168,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000171,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000175,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000179,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000180,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000181,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000183,7
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000187,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000188,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000189,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000192,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000203,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000204,7
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000213,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000214,6
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000216,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000218,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000220,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000221,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000222,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000223,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000227,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000229,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000230,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000231,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000238,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000247,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000249,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000253,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000254,6
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000264,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000275,7
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000279,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000295,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000302,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000303,2
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000304,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000309,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000313,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000314,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000315,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000316,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000318,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000320,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000332,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000333,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000337,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000345,6
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000346,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000364,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000374,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000375,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000379,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000383,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000386,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000387,2
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000388,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000389,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000396,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000398,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000403,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000404,7
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000413,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000421,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000422,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000426,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000427,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000444,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000447,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000448,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000460,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000465,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000466,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000475,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000481,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000482,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000488,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000489,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000493,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000496,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000498,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000499,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000506,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000507,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000509,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000510,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000511,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000512,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000518,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000519,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000520,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000531,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000532,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000534,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000537,1
