threshold,cluster,term_id,representative_term_id,is_redundant,max_jaccard_to_kept,max_overlap_coeff_to_kept
080,0,GEX001183,GEX001183,0,0.14428857715430862,0.25237856785177765
080,0,GEX003060,GEX003060,0,0.0,0.0
080,0,GEX007633,GEX007633,0,0.08994276369582993,0.16508254127063532
080,0,GEX015081,GEX015081,0,0.12834978843441466,0.2275
080,0,GEX019954,GEX019954,0,0.19200954084675015,0.32232232232232233
080,0,GEX026581,GEX026581,0,0.1293054771315641,0.229
080,0,GEX026976,GEX026976,0,0.07910367170626349,0.14664664664664664
080,0,GEX028572,GEX028572,0,0.1807976366322009,0.30645968953430147
080,0,GEX032503,GEX032503,0,0.1622093023255814,0.27927927927927926
080,0,GEX034005,GEX034005,0,0.07039614561027838,0.13156578289144572
080,1,GEX003060,GEX003060,0,0.0,0.0
080,1,GEX010287,GEX010287,0,0.04302477183833116,0.0825
080,1,GEX011322,GEX011322,0,0.06496272630457935,0.122
080,1,GEX015081,GEX015081,0,0.12834978843441466,0.2275
080,1,GEX020735,GEX020735,0,0.1210762331838565,0.216
080,1,GEX022223,GEX022223,0,0.06752068321323726,0.1265
080,1,GEX022390,GEX022390,0,0.18378218407812963,0.3105
080,1,GEX026030,GEX026030,0,0.06496272630457935,0.122
080,1,GEX026581,GEX026581,0,0.1293054771315641,0.229
080,1,GEX027898,GEX027898,0,0.07613666935700834,0.1415
080,2,GEX001183,GEX001183,0,0.1044776119402985,0.18928392588883325
080,2,GEX003060,GEX003060,0,0.0,0.0
080,2,GEX007633,GEX007633,0,0.08403361344537816,0.15507753876938468
080,2,GEX012461,GEX012461,0,0.08385345997286296,0.15473209814722083
080,2,GEX026976,GEX026976,0,0.07910367170626349,0.14664664664664664
080,2,GEX045654,GEX045654,0,0.08297180043383948,0.15322984476715074
080,2,GEX046816,GEX046816,0,0.12824858757062146,0.22734101151727593
080,2,GEX079889,GEX079889,0,0.1065891472868217,0.1927891837756635
080,2,GEX086552,GEX086552,0,0.12920554141928187,0.22884326489734602
080,2,GEX098040,GEX098040,0,0.1550028918449971,0.2684026039058588
080,3,GEX007633,GEX007633,0,0.11954087346024636,0.21360680340170085
080,3,GEX009431,GEX009431,0,0.09083469721767594,0.16658329164582292
080,3,GEX010287,GEX010287,0,0.0,0.0
080,3,GEX010974,GEX010974,0,0.13708759954493743,0.24112056028014006
080,3,GEX015081,GEX015081,0,0.06411279595637137,0.1205
080,3,GEX021976,GEX021976,0,0.055687516495117446,0.1055
080,3,GEX022390,GEX022390,0,0.06467926537130689,0.1215
080,3,GEX026030,GEX026030,0,0.06128946670204298,0.1155
080,3,GEX026581,GEX026581,0,0.09379272627837025,0.1715
080,3,GEX027898,GEX027898,0,0.07613666935700834,0.1415
080,4,GEX003060,GEX003060,0,0.0,0.0
080,4,GEX005652,GEX005652,0,0.07326892109500806,0.13656828414207103
080,4,GEX007633,GEX007633,0,0.11954087346024636,0.21360680340170085
080,4,GEX009431,GEX009431,0,0.09083469721767594,0.16658329164582292
080,4,GEX015081,GEX015081,0,0.12834978843441466,0.2275
080,4,GEX022223,GEX022223,0,0.06752068321323726,0.1265
080,4,GEX022390,GEX022390,0,0.18378218407812963,0.3105
080,4,GEX026030,GEX026030,0,0.051801209571391005,0.0985
080,4,GEX026581,GEX026581,0,0.1293054771315641,0.229
080,4,GEX027898,GEX027898,0,0.07613666935700834,0.1415
080,5,GEX003060,GEX003060,0,0.0,0.0
080,5,GEX007633,GEX007633,0,0.11954087346024636,0.21360680340170085
080,5,GEX010287,GEX010287,0,0.04302477183833116,0.0825
080,5,GEX011322,GEX011322,0,0.06496272630457935,0.122
080,5,GEX015081,GEX015081,0,0.12834978843441466,0.2275
080,5,GEX020735,GEX020735,0,0.1210762331838565,0.216
080,5,GEX022390,GEX022390,0,0.18378218407812963,0.3105
080,5,GEX026030,GEX026030,0,0.06496272630457935,0.122
080,5,GEX026581,GEX026581,0,0.1293054771315641,0.229
080,5,GEX027898,GEX027898,0,0.07613666935700834,0.1415
080,6,GEX001183,GEX001183,0,0.14428857715430862,0.25237856785177765
080,6,GEX003060,GEX003060,0,0.0,0.0
080,6,GEX004203,GEX004203,0,0.2109090909090909,0.3486973947895792
080,6,GEX008754,GEX008754,0,0.060477453580901855,0.11411411411411411
080,6,GEX015081,GEX015081,0,0.12834978843441466,0.2275
080,6,GEX015925,GEX015925,0,0.179456906729634,0.3046092184368738
080,6,GEX046816,GEX046816,0,0.11006114508060033,0.19829744616925388
080,6,GEX079889,GEX079889,0,0.15220524646872297,0.2643965948923385
080,6,GEX086552,GEX086552,0,0.12920554141928187,0.22884326489734602
080,6,GEX118431,GEX118431,0,0.12412046158176189,0.22083124687030545
080,7,GEX003060,GEX003060,0,0.0,0.0
080,7,GEX007633,GEX007633,0,0.11954087346024636,0.21360680340170085
080,7,GEX009431,GEX009431,0,0.06074270557029178,0.11455727863931967
080,7,GEX010974,GEX010974,0,0.13708759954493743,0.24112056028014006
080,7,GEX015081,GEX015081,0,0.12834978843441466,0.2275
080,7,GEX020735,GEX020735,0,0.1210762331838565,0.216
080,7,GEX022390,GEX022390,0,0.18378218407812963,0.3105
080,7,GEX026581,GEX026581,0,0.1293054771315641,0.229
080,7,GEX027898,GEX027898,0,0.059602649006622516,0.1125
080,7,GEX031138,GEX031138,0,0.24,0.3871935967983992
080,8,GEX003060,GEX003060,0,0.0,0.0
080,8,GEX007633,GEX007633,0,0.11954087346024636,0.21360680340170085
