threshold,cluster,cluster_nodes,cluster_genes,universe_genes,tested_terms,term_id,term_name,term_description,k_overlap,n_cluster_genes,m_term_genes,M_universe_genes,p_value,q_value,enrichment_ratio
080,0,2959,49957,60887,124019,GEX003060,"GSE226525,GSE226527-0-vs-8-human dn","Dn genes comparing Group 0 vs Group 8 (GSE226527, human)",2000,49957,2000,60887,8.831991708016018e-176,5.60326694372808e-172,1.2187881578157216
080,0,2959,49957,60887,124019,GEX015081,GSE247506-5-vs-4-human up,"Up genes in vein blood con peripheral mononuclear cell group control vs vein blood crao peripheral mononuclear cell group v (GSE247506, human)",2000,49957,2000,60887,8.831991708016018e-176,5.60326694372808e-172,1.2187881578157216
080,0,2959,49957,60887,124019,GEX026581,GSE160542-4-vs-3-human dn,"Dn genes in ctrl 4h cell line bci ns1.1 culture air liquid interphase day 26 untreated bronchus vs ho53 24h cell line bci ns1.1 culture air liquid interphase day 26 75 um bronchus (GSE160542, human)",2000,49957,2000,60887,8.831991708016018e-176,5.60326694372808e-172,1.2187881578157216
080,0,2959,49957,60887,124019,GEX007633,GSE243230-4-vs-2-human dn,"Dn genes in mock 24h cell line t84 human colon carcinoma wt none vs ifnl 6h cell line t84 human colon carcinoma wt 100ng/ml infl1 3 (GSE243230, human)",1999,49957,1999,60887,1.0844871089320833e-175,5.60326694372808e-172,1.2187881578157216
080,0,2959,49957,60887,124019,GEX034005,GSE245059-3-vs-4-human dn,"Dn genes in ft cf epi 3d full thickness vitro model airway cell line hbe 115 primary human bronchial epithelial cells (provided culture facility ffc (istituto g. gaslini genova) cystic fibrosis epitelial f508del lhc/rpmi pneumacult vs hbe 3d full thickness vitro model airway cell line 115 primary human bronchial epithelial cells (provided culture facility ffc (istituto g. gaslini genova) cystic fibrosis epitelial f508del lhc/rpmi pneumacult (GSE245059, human)",1999,49957,1999,60887,1.0844871089320833e-175,5.60326694372808e-172,1.2187881578157216
080,0,2959,49957,60887,124019,GEX019954,GSE220620-2-vs-10-human up,"Up genes in mia paca 2 cells 1e5 bio rep cell line pdac na lxr inverse agonist time 48 hr vs mia paca 2 cells 3a4 bio rep cell line pdac na lxr inverse agonist time 48 hr (GSE220620, human)",1998,49957,1998,60887,1.3316449750391277e-175,5.60326694372808e-172,1.2187881578157214
080,0,2959,49957,60887,124019,GEX026976,GSE231200-0-vs-5-human dn,"Dn genes in zikv infected human microglial cells metformin administration 48 h replicate rnaseq [met48 cell line c20 infection+metformin time vs zikv infected human microglial cells metformin administration 16 h replicate rnaseq [met16 cell line c20 infection+metformin time (GSE231200, human)",1998,49957,1998,60887,1.3316449750391277e-175,5.60326694372808e-172,1.2187881578157214
080,0,2959,49957,60887,124019,GEX032503,GSE236598-0-vs-1-human dn,"Dn genes in dmso 24h cell line (dipg) sf8628 vs azd5153 48h cell line (dipg) sf8628 (GSE236598, human)",1998,49957,1998,60887,1.3316449750391277e-175,5.60326694372808e-172,1.2187881578157214
080,0,2959,49957,60887,124019,GEX001183,"GSE209632,GSE209820-3-vs-5-human dn","Dn genes comparing Group 3 vs Group 5 (GSE209820, human)",1997,49957,1997,60887,1.6351245325282352e-175,5.60326694372808e-172,1.2187881578157216
080,0,2959,49957,60887,124019,GEX028572,"GSE233494,GSE233495-0-vs-3-human up","Up genes comparing Group 0 vs Group 3 (GSE233495, human)",1997,49957,1997,60887,1.6351245325282352e-175,5.60326694372808e-172,1.2187881578157216
080,1,6514,57280,60887,124019,GEX003060,"GSE226525,GSE226527-0-vs-8-human dn","Dn genes comparing Group 0 vs Group 8 (GSE226527, human)",2000,57280,2000,60887,1.0919076241156431e-54,6.102407165736019e-52,1.0629713687150837
080,1,6514,57280,60887,124019,GEX010287,"GSE240896,GSE240899-5-vs-1-human dn","Dn genes comparing Group 5 vs Group 1 (GSE240899, human)",2000,57280,2000,60887,1.0919076241156431e-54,6.102407165736019e-52,1.0629713687150837
080,1,6514,57280,60887,124019,GEX011322,GSE254479-5-vs-1-human dn,"Dn genes in mcf 10a cells egf c75 3h biol rep cell line breast epithelial wt 9h plus vs mcf 10a cells egf dmso 6h biol rep cell line breast epithelial wt 9h plus (GSE254479, human)",2000,57280,2000,60887,1.0919076241156431e-54,6.102407165736019e-52,1.0629713687150837
080,1,6514,57280,60887,124019,GEX015081,GSE247506-5-vs-4-human up,"Up genes in vein blood con peripheral mononuclear cell group control vs vein blood crao peripheral mononuclear cell group v (GSE247506, human)",2000,57280,2000,60887,1.0919076241156431e-54,6.102407165736019e-52,1.0629713687150837
080,1,6514,57280,60887,124019,GEX020735,"GSE188111,GSE188123-5-vs-3-human up","Up genes comparing Group 5 vs Group 3 (GSE188123, human)",2000,57280,2000,60887,1.0919076241156431e-54,6.102407165736019e-52,1.0629713687150837
080,1,6514,57280,60887,124019,GEX022223,GSE227465-3-vs-4-human dn,"Dn genes in hbl1 a20 24hr cell line human dlbcl cas9 engineered tnfaip3 ko vs tmd8 24hr acal cell line human dlbcl cas9 engineered ko 25 nm acalabrutinib 24h (GSE227465, human)",2000,57280,2000,60887,1.0919076241156431e-54,6.102407165736019e-52,1.0629713687150837
080,1,6514,57280,60887,124019,GEX022390,"GSE246886,GSE246889-2-vs-4-human dn","Dn genes comparing Group 2 vs Group 4 (GSE246889, human)",2000,57280,2000,60887,1.0919076241156431e-54,6.102407165736019e-52,1.0629713687150837
080,1,6514,57280,60887,124019,GEX026030,GSE249721-5-vs-12-human up,"Up genes in pc9 ct 24h lung adenocarcinoma cell line epithelial subcloned yes dmso vs h4006 erlo 24h 1 lung adenocarcinoma cell line hcc4006 epithelial subcloned yes erlotinib um (GSE249721, human)",2000,57280,2000,60887,1.0919076241156431e-54,6.102407165736019e-52,1.0629713687150837
080,1,6514,57280,60887,124019,GEX026581,GSE160542-4-vs-3-human dn,"Dn genes in ctrl 4h cell line bci ns1.1 culture air liquid interphase day 26 untreated bronchus vs ho53 24h cell line bci ns1.1 culture air liquid interphase day 26 75 um bronchus (GSE160542, human)",2000,57280,2000,60887,1.0919076241156431e-54,6.102407165736019e-52,1.0629713687150837
