label,gs_id,degree_centrality,betweenness_centrality,closeness_centrality
A8 (full),GEX031877,1.0,0.00015149,1.0
A8 (full),GEX032200,1.0,0.00015149,1.0
A8 (full),GEX123922,1.0,0.00015149,1.0
A8 (full),GEX024041,1.0,0.00015149,1.0
A8 (full),GEX054991,1.0,0.00015149,1.0
A8 (full),GEX006295,1.0,0.00015149,1.0
A8 (full),GEX009143,1.0,0.00015149,1.0
A8 (full),GEX015592,1.0,0.00015149,1.0
A8 (full),GEX019277,1.0,0.00015149,1.0
A8 (full),GEX025072,1.0,0.00015149,1.0
A8 (full),GEX057711,1.0,0.00015149,1.0
A8 (full),GEX072728,1.0,0.00015149,1.0
A8 (full),GEX081230,1.0,0.00015149,1.0
A8 (full),GEX083291,1.0,0.00015149,1.0
A8 (full),GEX087861,1.0,0.00015149,1.0
A8 (full),GEX095459,1.0,0.00015149,1.0
A8 (full),GEX101576,1.0,0.00015149,1.0
A8 (full),GEX102509,1.0,0.00015149,1.0
A8 (full),GEX108689,1.0,0.00015149,1.0
A8 (full),GEX004105,1.0,0.00015149,1.0
A8 (full),GEX014353,1.0,0.00015149,1.0
A8 (full),GEX028455,1.0,0.00015149,1.0
A8 (full),GEX029154,1.0,0.00015149,1.0
A8 (full),GEX030585,1.0,0.00015149,1.0
A8 (full),GEX030931,1.0,0.00015149,1.0
A8 (full),GEX031997,1.0,0.00015149,1.0
A8 (full),GEX039917,1.0,0.00015149,1.0
A8 (full),GEX040563,1.0,0.00015149,1.0
A8 (full),GEX046019,1.0,0.00015149,1.0
A8 (full),GEX058749,1.0,0.00015149,1.0
A8 (full),GEX064758,1.0,0.00015149,1.0
A8 (full),GEX072976,1.0,0.00015149,1.0
A8 (full),GEX079753,1.0,0.00015149,1.0
A8 (full),GEX080424,1.0,0.00015149,1.0
A8 (full),GEX083578,1.0,0.00015149,1.0
A8 (full),GEX087788,1.0,0.00015149,1.0
A8 (full),GEX090589,1.0,0.00015149,1.0
A8 (full),GEX093748,1.0,0.00015149,1.0
A8 (full),GEX094412,1.0,0.00015149,1.0
A8 (full),GEX094732,1.0,0.00015149,1.0
A8 (full),GEX111881,1.0,0.00015149,1.0
A8 (full),GEX020806,1.0,0.00015149,1.0
A8 (full),GEX032741,1.0,0.00015149,1.0
A8 (full),GEX044491,1.0,0.00015149,1.0
A8 (full),GEX052329,1.0,0.00015149,1.0
A8 (full),GEX074771,1.0,0.00015149,1.0
A8 (full),GEX002248,0.996154,9.599e-05,0.996169
A8 (full),GEX011260,0.996154,9.599e-05,0.996169
A8 (full),GEX023312,0.996154,8.988e-05,0.996169
A8 (full),GEX040496,0.996154,9.599e-05,0.996169
A8 (full),GEX042122,0.996154,9.599e-05,0.996169
A8 (full),GEX121649,0.996154,9.599e-05,0.996169
A8 (full),GEX008446,0.996154,9.599e-05,0.996169
A8 (full),GEX009941,0.996154,8.988e-05,0.996169
A8 (full),GEX015507,0.996154,9.599e-05,0.996169
A8 (full),GEX027215,0.996154,8.988e-05,0.996169
A8 (full),GEX040833,0.996154,9.599e-05,0.996169
A8 (full),GEX045938,0.996154,0.00014848,0.996169
A8 (full),GEX050367,0.996154,9.599e-05,0.996169
A8 (full),GEX057189,0.996154,8.988e-05,0.996169
A8 (full),GEX081526,0.996154,9.599e-05,0.996169
A8 (full),GEX086934,0.996154,9.599e-05,0.996169
A8 (full),GEX107614,0.996154,8.988e-05,0.996169
A8 (full),GEX119090,0.996154,8.988e-05,0.996169
A8 (full),GEX120154,0.996154,9.599e-05,0.996169
A8 (full),GEX025087,0.996154,8.988e-05,0.996169
A8 (full),GEX036791,0.996154,9.599e-05,0.996169
A8 (full),GEX041486,0.996154,9.599e-05,0.996169
A8 (full),GEX058847,0.996154,8.988e-05,0.996169
A8 (full),GEX066377,0.996154,8.988e-05,0.996169
A8 (full),GEX072891,0.996154,8.988e-05,0.996169
A8 (full),GEX073025,0.996154,0.00014848,0.996169
A8 (full),GEX073610,0.996154,8.988e-05,0.996169
A8 (full),GEX079220,0.996154,8.988e-05,0.996169
A8 (full),GEX089882,0.996154,8.988e-05,0.996169
A8 (full),GEX095579,0.996154,0.00014848,0.996169
A8 (full),GEX098217,0.996154,0.00014848,0.996169
A8 (full),GEX108544,0.996154,8.988e-05,0.996169
A8 (full),GEX116986,0.996154,8.988e-05,0.996169
