a_group,b_group,overlap_count,overlap_pct,size_A,size_B,n_nodes_A,n_nodes_B,n_nodes_delta,n_nodes_ratio,n_edges_A,n_edges_B,n_edges_delta,n_edges_ratio,density_A,density_B,density_delta,density_ratio,mean_degree_A,mean_degree_B,mean_degree_delta,mean_degree_ratio,average_clustering_A,average_clustering_B,average_clustering_delta,average_clustering_ratio,n_connected_components_A,n_connected_components_B,n_connected_components_delta,n_connected_components_ratio,n_edges_gene_overlap_A,n_edges_gene_overlap_B,n_edges_gene_overlap_delta,n_edges_gene_overlap_ratio,n_edges_pubmed_costudy_A,n_edges_pubmed_costudy_B,n_edges_pubmed_costudy_delta,n_edges_pubmed_costudy_ratio,n_edges_shared_mesh_term_A,n_edges_shared_mesh_term_B,n_edges_shared_mesh_term_delta,n_edges_shared_mesh_term_ratio,n_edges_shared_pathway_A,n_edges_shared_pathway_B,n_edges_shared_pathway_delta,n_edges_shared_pathway_ratio,n_edges_shared_disease_A,n_edges_shared_disease_B,n_edges_shared_disease_delta,n_edges_shared_disease_ratio,n_edges_shared_go_bp_A,n_edges_shared_go_bp_B,n_edges_shared_go_bp_delta,n_edges_shared_go_bp_ratio,cov_gene_overlap_A,cov_gene_overlap_B,cov_gene_overlap_delta,cov_pubmed_costudy_A,cov_pubmed_costudy_B,cov_pubmed_costudy_delta,cov_shared_mesh_term_A,cov_shared_mesh_term_B,cov_shared_mesh_term_delta,cov_shared_pathway_A,cov_shared_pathway_B,cov_shared_pathway_delta,cov_shared_disease_A,cov_shared_disease_B,cov_shared_disease_delta,cov_shared_go_bp_A,cov_shared_go_bp_B,cov_shared_go_bp_delta
A0,B0,137,28.3,464,484,464.0,484.0,20.0,1.043103448275862,328928.0,366182.0,37254.0,1.1132588286798326,0.99932970879571,0.9998973358657152,0.0005676270700051278,1.0005680078006378,462.6896551724138,482.9504132231405,20.260758050726736,1.0437890880512055,0.9993457158630265,0.9998974953327991,0.0005517794697726952,1.0005521407266915,1.0,1.0,0.0,1.0,235.0,271.0,36.0,1.1531914893617021,600.0,830.0,230.0,1.3833333333333333,62007.0,62270.0,263.0,1.0042414566097375,106487.0,116595.0,10108.0,1.0949223848920526,82892.0,96292.0,13400.0,1.1616561308690827,76707.0,89924.0,13217.0,1.1723050047583663,0.875,0.9070247933884298,0.032024793388429784,0.7564655172413793,0.7747933884297521,0.018327871188372757,0.790948275862069,0.762396694214876,-0.02855158164719296,1.0,1.0,0.0,0.9288793103448276,0.96900826446281,0.04012895411798234,0.9525862068965516,0.9607438016528924,0.008157594756340814
A1,B1,118,20.3,499,582,499.0,582.0,83.0,1.1663326653306614,320989.0,487277.0,166288.0,1.518048905102667,0.9961690449171436,0.9990595666909168,0.002890521773773136,1.0029016378179203,496.0921843687375,580.4536082474227,84.36142387868523,1.170051910787574,0.9968289352974674,0.9992120607162052,0.0023831254187377526,1.0023907065037458,1.0,1.0,0.0,1.0,290.0,268.0,-22.0,0.9241379310344827,663.0,527.0,-136.0,0.7948717948717948,73646.0,85801.0,12155.0,1.165046302582625,123216.0,168156.0,44940.0,1.3647253603428127,65455.0,116777.0,51322.0,1.7840806661064854,57719.0,115748.0,58029.0,2.0053708484207973,0.9138276553106212,0.9003436426116839,-0.013484012698937287,0.7895791583166333,0.788659793814433,-0.000919364502200315,0.7935871743486974,0.7336769759450171,-0.05991019840368028,1.0,0.9982817869415808,-0.0017182130584192379,0.8256513026052105,0.9072164948453608,0.08156519224015035,0.8877755511022044,0.9690721649484536,0.0812966138462492
A2,B5,167,40.7,410,229,410.0,229.0,-181.0,0.5585365853658537,101979.0,32968.0,-69011.0,0.3232822443836476,0.8235911503369312,0.863901018922853,0.04030986858592178,1.0489440283196718,336.8487804878049,196.96943231441048,-139.87934817339442,0.5847414143200126,0.9085885962187986,0.9412121338129572,0.03262353759415859,1.035905730855445,1.0,3.0,2.0,3.0,3214.0,576.0,-2638.0,0.179215930304916,339.0,143.0,-196.0,0.4218289085545723,33462.0,8738.0,-24724.0,0.2611320303627996,54632.0,20393.0,-34239.0,0.3732793966905843,4778.0,1987.0,-2791.0,0.4158643784010046,5554.0,1131.0,-4423.0,0.20363701836514225,0.9536585365853658,0.7860262008733624,-0.16763233571200342,0.5682926829268292,0.3973799126637554,-0.17091277026307383,0.6707317073170732,0.62882096069869,-0.04191074661838323,0.8804878048780488,0.8951965065502183,0.014708701672169533,0.424390243902439,0.5021834061135371,0.07779316221109805,0.5463414634146342,0.4192139737991266,-0.12712748961550757
A3,B4,184,31.1,423,592,423.0,592.0,169.0,1.3995271867612293,280548.0,548260.0,267712.0,1.9542466886236936,0.9998543466326062,0.9997484794439108,-0.00010586718869542988,0.9998941173891458,421.9385342789598,590.8513513513514,168.91281707239153,1.4003256478127613,0.9998554412250767,0.9997507866056754,-0.00010465461940134535,0.9998953302496678,1.0,1.0,0.0,1.0,212.0,276.0,64.0,1.3018867924528301,333.0,590.0,257.0,1.7717717717717718,43426.0,91247.0,47821.0,2.1012066503937734,88947.0,174236.0,85289.0,1.9588743858702373,75132.0,148325.0,73193.0,1.974192088590747,72498.0,133586.0,61088.0,1.8426163480371873,0.8652482269503546,0.9138513513513512,0.04860312440099657,0.6950354609929078,0.7432432432432432,0.048207782250335396,0.7163120567375887,0.7466216216216216,0.030309564884032913,1.0,1.0,0.0,0.9527186761229316,0.9594594594594594,0.006740783336527834,0.9787234042553192,0.9679054054054054,-0.010817998849913857
A4,B9,58,16.7,344,347,344.0,347.0,3.0,1.0087209302325582,169596.0,167032.0,-2564.0,0.9848817189084649,0.9997118448708388,0.999300361479902,-0.0004114833909367732,0.9995883980038368,342.9011627906977,345.75792507204613,2.8567622813484377,1.008331153671509,0.9997125901565592,0.9993071803807366,-0.0004054097758225961,0.9995944736719189,1.0,1.0,0.0,1.0,159.0,158.0,-1.0,0.9937106918238994,322.0,333.0,11.0,1.0341614906832297,29787.0,33094.0,3307.0,1.1110215865981805,58833.0,59810.0,977.0,1.0166063263814527,42341.0,38427.0,-3914.0,0.9075600481802508,38154.0,35210.0,-2944.0,0.9228390208103999,0.875,0.9020172910662824,0.027017291066282367,0.7441860465116279,0.7348703170028819,-0.00931572950874604,0.75,0.760806916426513,0.010806916426512991,1.0,1.0,0.0,0.9273255813953488,0.899135446685879,-0.02819013470946985,0.9476744186046512,0.9337175792507204,-0.013956839353930772
A5,B8,4,1.0,407,42,407.0,42.0,-365.0,0.10319410319410319,210847.0,869.0,-209978.0,0.004121471967825011,0.9879570569225742,0.6933797909407665,-0.29457726598180767,0.7018319127155204,401.1105651105651,28.428571428571427,-372.6819936819937,0.07087465128407965,0.9895233773442784,0.8528222445945588,-0.13670113274971962,0.8618515379428392,1.0,1.0,0.0,1.0,341.0,267.0,-74.0,0.782991202346041,632.0,1.0,-631.0,0.0015822784810126582,41130.0,301.0,-40829.0,0.007318259178215414,80828.0,183.0,-80645.0,0.0022640669075072993,46378.0,78.0,-46300.0,0.0016818319030574842,41538.0,39.0,-41499.0,0.0009388993211035678,0.9115479115479116,0.8809523809523809,-0.030595530595530662,0.7076167076167076,0.0476190476190476,-0.65999765999766,0.7518427518427518,0.6190476190476191,-0.13279513279513278,1.0,0.4761904761904761,-0.523809523809524,0.8353808353808354,0.3095238095238095,-0.5258570258570259,0.855036855036855,0.238095238095238,-0.616941616941617
A6,B2,73,14.7,498,442,498.0,442.0,-56.0,0.8875502008032129,313534.0,169527.0,-144007.0,0.5406973406392928,0.9953374867679976,0.9627645930166938,-0.03257289375130379,0.9672745232804678,494.6827309236948,424.579185520362,-70.10354540333282,0.8582858446009786,0.996171700943276,0.9712874366132772,-0.024884264329998795,0.9750201051621564,1.0,1.0,0.0,1.0,296.0,226.0,-70.0,0.7635135135135135,509.0,1428.0,919.0,2.805500982318271,60222.0,60245.0,23.0,1.0003819202284878,121467.0,85225.0,-36242.0,0.7016308956342052,71524.0,12071.0,-59453.0,0.16876852525026564,59516.0,10332.0,-49184.0,0.17360037636937967,0.8995983935742972,0.9705882352941176,0.07098984171982048,0.7289156626506024,0.8280542986425339,0.09913863599193151,0.7188755020080321,0.8122171945701357,0.09334169256210367,0.997991967871486,0.98868778280543,-0.009304185066056014,0.8734939759036144,0.5497737556561086,-0.3237202202475058,0.9056224899598394,0.7104072398190046,-0.19521525014083485
A7,B6,296,36.2,474,817,474.0,817.0,343.0,1.7236286919831223,221059.0,798400.0,577341.0,3.6117054722947266,0.9729172799528996,0.9996040031679748,0.02668672321507526,1.027429591153286,460.1898734177215,815.6768665850673,355.48699316734576,1.7724789564082055,0.9796332136402448,0.9996071113878788,0.01997389774763403,1.0203891594012136,1.0,1.0,0.0,1.0,247.0,398.0,151.0,1.611336032388664,560.0,1361.0,801.0,2.430357142857143,61362.0,182854.0,121492.0,2.979922427561031,103776.0,332558.0,228782.0,3.2045752389762567,27698.0,145747.0,118049.0,5.262004476857535,27416.0,135482.0,108066.0,4.941712868398016,0.9092827004219408,0.9400244798041616,0.03074177938222078,0.770042194092827,0.7980416156670747,0.027999421574247618,0.7637130801687764,0.762545899632803,-0.0011671805359734222,0.9957805907172996,1.0,0.00421940928270037,0.6835443037974683,0.7870257037943696,0.10348139999690131,0.8059071729957806,0.8763769889840881,0.07046981598830748
A8,B7,181,67.5,261,268,261.0,268.0,7.0,1.0268199233716475,78896.0,73377.0,-5519.0,0.9300471506793754,0.982640730916593,0.9960310805522948,0.013390349635701848,1.0136269027065583,255.48659003831415,265.94029850746267,10.453708469148523,1.0409168577794272,0.9903228022879,0.9966154073735822,0.00629260508568219,1.00635409491849,1.0,1.0,0.0,1.0,741.0,31.0,-710.0,0.04183535762483131,213.0,245.0,32.0,1.1502347417840375,19536.0,19049.0,-487.0,0.9750716625716626,32560.0,35380.0,2820.0,1.0866093366093366,24680.0,17754.0,-6926.0,0.7193679092382496,1166.0,918.0,-248.0,0.7873070325900514,0.9846743295019156,0.1753731343283582,-0.8093011951735574,0.5517241379310345,0.4850746268656716,-0.06664951106536288,0.7624521072796935,0.75,-0.01245210727969348,1.0,1.0,0.0,0.9348659003831418,0.8544776119402985,-0.08038828844284329,0.2528735632183908,0.2873134328358209,0.03443986961743012
A9,B3,116,22.4,518,495,518.0,495.0,-23.0,0.9555984555984556,412931.0,350995.0,-61936.0,0.8500088392491724,0.9989843394098712,0.9996237680448208,0.0006394286349495903,1.0006400787376981,516.4749034749035,493.81414141414143,-22.660762060762067,0.956124175815131,0.9990505374005102,0.9996309469448676,0.000580409544357452,1.0005809611452365,1.0,1.0,0.0,1.0,352.0,691.0,339.0,1.9630681818181819,1055.0,2192.0,1137.0,2.0777251184834125,74452.0,59616.0,-14836.0,0.8007306721108902,132753.0,121752.0,-11001.0,0.9171318162301417,103055.0,86856.0,-16199.0,0.8428120906312163,101264.0,79888.0,-21376.0,0.7889082003476062,0.8996138996138996,1.0,0.10038610038610041,0.750965250965251,0.7656565656565657,0.014691314691314683,0.7625482625482626,0.7373737373737373,-0.02517452517452523,1.0,1.0,0.0,0.945945945945946,0.9212121212121211,-0.024733824733824905,0.9884169884169884,0.9252525252525252,-0.06316446316446322
