group_id,n_nodes,n_edges,density,n_connected_components,mean_degree,average_clustering,n_edges_gene_overlap,n_edges_pubmed_costudy,n_edges_shared_mesh_term,n_edges_shared_pathway,n_edges_shared_disease,n_edges_shared_go_bp
A0,464,328928,0.9993297087957101,1,462.6896551724138,0.9993457158630263,235,600,62007,106487,82892,76707
A1,499,320989,0.9961690449171435,1,496.0921843687375,0.9968289352974674,290,663,73646,123216,65455,57719
A2,410,101979,0.8235911503369312,1,336.8487804878049,0.9085885962187986,3214,339,33462,54632,4778,5554
A3,423,280548,0.9998543466326062,1,421.9385342789598,0.9998554412250769,212,333,43426,88947,75132,72498
A4,344,169596,0.9997118448708388,1,342.9011627906977,0.9997125901565593,159,322,29787,58833,42341,38154
A5,407,210847,0.9879570569225742,1,401.1105651105651,0.9895233773442784,341,632,41130,80828,46378,41538
A6,498,313534,0.9953374867679975,1,494.6827309236948,0.9961717009432761,296,509,60222,121467,71524,59516
A7,474,221059,0.9729172799528997,1,460.1898734177215,0.9796332136402448,247,560,61362,103776,27698,27416
A8,261,78896,0.982640730916593,1,255.48659003831418,0.9903228022878999,741,213,19536,32560,24680,1166
A9,518,412931,0.9989843394098713,1,516.4749034749035,0.9990505374005102,352,1055,74452,132753,103055,101264
B0,484,366182,0.9998973358657153,1,482.9504132231405,0.9998974953327991,271,830,62270,116595,96292,89924
B1,582,487277,0.9990595666909169,1,580.4536082474227,0.9992120607162052,268,527,85801,168156,116777,115748
B2,442,169527,0.9627645930166938,1,424.579185520362,0.9712874366132773,226,1428,60245,85225,12071,10332
B3,495,350995,0.9996237680448207,1,493.81414141414143,0.9996309469448676,691,2192,59616,121752,86856,79888
B4,592,548260,0.9997484794439109,1,590.8513513513514,0.9997507866056754,276,590,91247,174236,148325,133586
B5,229,32968,0.863901018922853,3,196.96943231441048,0.9412121338129572,576,143,8738,20393,1987,1131
B6,817,798400,0.9996040031679747,1,815.6768665850673,0.9996071113878787,398,1361,182854,332558,145747,135482
B7,268,73377,0.9960310805522947,1,265.94029850746267,0.9966154073735822,31,245,19049,35380,17754,918
B8,42,869,0.6933797909407665,1,28.428571428571427,0.8528222445945588,267,1,301,183,78,39
B9,347,167032,0.9993003614799021,1,345.75792507204613,0.9993071803807366,158,333,33094,59810,38427,35210
